,full_name,total_points
0,Shkodran Mustafi,43
1,Héctor Bellerín,44
2,Sead Kolasinac,55
3,Ainsley Maitland-Niles,41
4,Sokratis Papastathopoulos,57
5,Nacho Monreal,10
6,Laurent Koscielny,0
7,Konstantinos Mavropanos,0
8,Carl Jenkinson,0
9,Rob Holding,16
10,Pierre-Emerick Aubameyang,205
11,Alexandre Lacazette,118
12,Edward Nketiah,25
13,Bernd Leno,114
14,Mesut Özil,53
15,Henrikh Mkhitaryan,4
16,Alex Iwobi,52
17,Granit Xhaka,73
18,Lucas Torreira,46
19,Mohamed Elneny,0
20,Matteo Guendouzi,48
21,Ahmed El Mohamady,39
22,James Chester,0
23,Neil Taylor,22
24,Kortney Hause,34
25,Jonathan Kodjia,5
26,Ørjan Nyland,15
27,Conor Hourihane,83
28,Jack Grealish,149
29,Anwar El Ghazi,93
30,John McGinn,84
31,Andre Green,0
32,Birkir Bjarnason,0
33,Keinan Davis,25
34,Henri Lansbury,12
35,José Ignacio Peleteiro Romallo,17
36,Steve Cook,52
37,Nathan Aké,79
38,Charlie Daniels,3
39,Chris Mepham,27
40,Simon Francis,16
41,Adam Smith,49
42,Lloyd Kelly,11
43,Diego Rico,84
44,Jack Simpson,4
45,Callum Wilson,116
46,Joshua King,99
47,Dominic Solanke,69
48,Lys Mousset,84
49,Sam Surridge,4
50,Asmir Begovic,0
51,Artur Boruc,0
52,Mark Travers,1
53,Ryan Fraser,73
54,David Brooks,21
55,Junior Stanislas,42
56,Jordon Ibe,2
57,Lewis Cook,40
58,Andrew Surman,6
59,Dan Gosling,54
60,Jefferson Lerma,65
61,Shane Duffy,44
62,Martín Montoya,62
63,Bernardo Fernandes da Silva Junior,21
64,Leon Balogun,0
65,Gaëtan Bong,3
66,Lewis Dunk,128
67,Matthew Clarke,0
68,Glenn Murray,36
69,Jürgen Locadia,3
70,Florin Andone,5
71,Mathew Ryan,135
72,David Button,0
73,Pascal Groß,76
74,Alireza Jahanbakhsh,28
75,José Heriberto Izquierdo Mena,0
76,Anthony Knockaert,0
77,Yves Bissouma,39
78,Davy Pröpper,78
79,Solomon March,38
80,Beram Kayal,0
81,Dale Stephens,63
82,Leandro Trossard,104
83,Ben Mee,110
84,James Tarkowski,143
85,Matthew Lowton,48
86,Phil Bardsley,78
87,Charlie Taylor,84
88,Kevin Long,21
89,Ben Gibson,0
90,Ashley Barnes,61
91,Chris Wood,136
92,Matej Vydra,39
93,Nick Pope,170
94,Tom Heaton,59
95,Joe Hart,0
96,Johann Berg Gudmundsson,30
97,Dwight McNeil,123
98,Robbie Brady,32
99,Steven Defour,0
100,Jeff Hendrick,67
101,Ashley Westwood,118
102,Jack Cork,70
103,Marcos Alonso,100
104,Antonio Rüdiger,63
105,César Azpilicueta,130
106,David Luiz Moreira Marinho,94
107,Emerson Palmieri dos Santos,19
108,Andreas Christensen,34
109,Davide Zappacosta,0
110,Olivier Giroud,68
111,Kepa Arrizabalaga,90
112,Willy Caballero,13
113,Willian Borges Da Silva,168
114,Pedro Rodríguez Ledesma,32
115,Ruben Loftus-Cheek,12
116,Callum Hudson-Odoi,53
117,Ross Barkley,61
118,Jorge Luiz Frello Filho,92
119,N’Golo Kanté,57
120,Daniel Drinkwater,6
121,Ethan Ampadu,0
122,Aaron Wan-Bissaka,127
123,Patrick van Aanholt,109
124,James Tomkins,48
125,Mamadou Sakho,11
126,Joel Ward,77
127,Scott Dann,51
128,Martin Kelly,64
129,Christian Benteke,42
130,Connor Wickham,15
131,Vicente Guaita,137
132,Wayne Hennessey,7
133,Wilfried Zaha,120
134,Luka Milivojevic,81
135,Andros Townsend,48
136,Max Meyer,23
137,Jeffrey Schlupp,51
138,James McArthur,92
139,Cheikhou Kouyaté,85
140,Luke Dreher,0
141,Lucas Digne,120
142,Yerry Mina,78
143,Michael Keane,90
144,Seamus Coleman,55
145,Leighton Baines,14
146,Cenk Tosun,24
147,Dominic Calvert-Lewin,126
148,Jordan Pickford,117
149,Maarten Stekelenburg,0
150,Richarlison de Andrade,165
151,Gylfi Sigurdsson,95
152,Bernard Anício Caldeira Duarte,72
153,Theo Walcott,63
154,Tom Davies,59
155,Ademola Lookman,0
156,Idrissa Gueye,0
157,James McCarthy,41
158,Morgan Schneiderlin,18
159,André Filipe Tavares Gomes,39
160,Ricardo Domingos Barbosa Pereira,123
161,Harry Maguire,123
162,Benjamin Chilwell,114
163,Jonny Evans,128
164,Christian Fuchs,26
165,Çaglar Söyüncü,120
166,Wes Morgan,19
167,Jamie Vardy,210
168,Kelechi Iheanacho,64
169,Kasper Schmeichel,156
170,Eldin Jakupovic,0
171,Danny Ward,0
172,James Maddison,125
173,Harvey Barnes,133
174,Rachid Ghezzal,0
175,Marc Albrighton,38
176,Demarai Gray,44
177,Wilfred Ndidi,85
178,Matty James,1
179,Daniel Amartey,0
180,Nampalys Mendy,11
181,Hamza Choudhury,35
182,Andrew Robertson,181
183,Trent Alexander-Arnold,210
184,Virgil van Dijk,178
185,Joseph Gomez,93
186,Joel Matip,39
187,Dejan Lovren,18
188,Roberto Firmino,155
189,Divock Origi,65
190,Alisson Ramses Becker,122
191,Simon Mignolet,0
192,Mohamed Salah,233
193,Sadio Mané,221
194,Alex Oxlade-Chamberlain,76
195,Xherdan Shaqiri,15
196,Adam Lallana,27
197,Naby Keita,52
198,Fabio Henrique Tavares,77
199,Jordan Henderson,116
200,Georginio Wijnaldum,107
201,James Milner,49
202,Rafael Camacho,0
203,Aymeric Laporte,63
204,Kyle Walker,114
205,Benjamin Mendy,74
206,Fabian Delph,24
207,Oleksandr Zinchenko,49
208,John Stones,34
209,Nicolás Otamendi,82
210,Danilo Luiz da Silva,0
211,Sergio Agüero,132
212,Gabriel Fernando de Jesus,146
213,Ederson Santana de Moraes,133
214,Claudio Bravo,11
215,Raheem Sterling,204
216,Kevin De Bruyne,251
217,Leroy Sané,1
218,Riyad Mahrez,175
219,Bernardo Mota Veiga de Carvalho e Silva,116
220,David Silva,139
221,Phil Foden,69
222,Fernando Luiz Rosa,55
223,Ilkay Gündogan,65
224,Chris Smalling,0
225,Ashley Young,24
226,Victor Lindelöf,116
227,Luke Shaw,67
228,Marcos Rojo,3
229,Eric Bailly,9
230,José Diogo Dalot Teixeira,4
231,Matteo Darmian,0
232,Phil Jones,2
233,Romelu Lukaku,0
234,Marcus Rashford,177
235,Mason Greenwood,103
236,David de Gea,143
237,Sergio Romero,0
238,Lee Grant,0
239,Paul Pogba,51
240,Anthony Martial,200
241,Alexis Sánchez,0
242,Jesse Lingard,32
243,Juan Mata,38
244,Daniel James,95
245,Frederico Rodrigues de Paula Santos,50
246,Angel Gomes,2
247,Andreas Pereira,60
248,Nemanja Matic,55
249,Scott McTominay,74
250,Tahith Chong,3
251,James Garner,1
252,Matt Ritchie,74
253,Fabian Schär,55
254,DeAndre Yedlin,26
255,Federico Fernández,102
256,Paul Dummett,44
257,Javier Manquillo,65
258,Florian Lejeune,24
259,Jamaal Lascelles,73
260,Ciaran Clark,49
261,Yoshinori Muto,9
262,Jose Luis Mato Sanmartín,0
263,Martin Dubravka,143
264,Karl Darlow,0
265,Frederick Woodman,0
266,Ayoze Pérez,129
267,Miguel Almirón,109
268,Christian Atsu,37
269,Sung-yueng Ki,4
270,Jonjo Shelvey,105
271,Sean Longstaff,44
272,Isaac Hayden,73
273,Timm Klose,9
274,Ben Godfrey,38
275,Maximillian Aarons,66
276,Christoph Zimmermann,35
277,Jamal Lewis,48
278,Grant Hanley,23
279,Teemu Pukki,139
280,Dennis Srbeny,13
281,Tim Krul,109
282,Michael McGovern,11
283,Mario Vrancic,29
284,Emiliano Buendía,94
285,Onel Hernández,52
286,Marco Stiepermann,32
287,Kenny McLean,77
288,Todd Cantwell,111
289,Moritz Leitner,16
290,Alexander Tettey,67
291,Tom Trybull,28
292,Enda Stevens,142
293,Kieron Freeman,2
294,Jack O’Connell,111
295,George Baldock,142
296,John Egan,133
297,Richard Stearman,0
298,John Lundstram,144
299,Billy Sharp,57
300,Jake Eastwood,0
301,Mark Duffy,0
302,John Fleck,101
303,Oliver Norwood,98
304,David McGoldrick,65
305,Chris Basham,123
306,Jannik Vestergaard,51
307,Ryan Bertrand,75
308,Yan Valery,18
309,Jan Bednarek,84
310,Jack Stephens,85
311,Matt Targett,80
312,Maya Yoshida,10
313,Kayne Ramsay,0
314,Charlie Austin,0
315,Danny Ings,198
316,Michael Obafemi,45
317,Shane Long,62
318,Sam Gallagher,0
319,Fraser Forster,0
320,Alex McCarthy,104
321,Angus Gunn,29
322,Nathan Redmond,107
323,James Ward-Prowse,117
324,Mohamed Elyounoussi,0
325,Stuart Armstrong,98
326,Mario Lemina,0
327,Pierre-Emile Højbjerg,75
328,Tyreke Johnson,0
329,Callum Slattery,0
330,Oriol Romeu Vidal,51
331,Ben Davies,41
332,Jan Vertonghen,62
333,Toby Alderweireld,97
334,Danny Rose,47
335,Davinson Sánchez,64
336,Kieran Trippier,0
337,Juan Foyth,3
338,Serge Aurier,124
339,Kyle Walker-Peters,32
340,Harry Kane,158
341,Vincent Janssen,0
342,Hugo Lloris,98
343,Paulo Gazzaniga,58
344,Heung-Min Son,169
345,Christian Eriksen,48
346,Bamidele Alli,117
347,Lucas Rodrigues Moura da Silva,100
348,Erik Lamela,65
349,Harry Winks,52
350,Victor Wanyama,1
351,Moussa Sissoko,69
352,Eric Dier,36
353,Luke Amos,0
354,Oliver Skipp,7
355,José Holebas,21
356,Christian Kabasele,73
357,Adam Masina,66
358,Adrian Mariappa,26
359,Francisco Femenía Far,54
360,Craig Cathcart,77
361,Daryl Janmaat,36
362,Marc Navarro,0
363,Sebastian Prödl,1
364,Troy Deeney,109
365,Gerard Deulofeu,88
366,Andre Gray,39
367,Isaac Success Ajayi,4
368,Ben Foster,137
369,Pontus Dahlberg,0
370,Abdoulaye Doucouré,113
371,Roberto Pereyra,60
372,Will Hughes,62
373,Tom Cleverley,33
374,Ken Sema,0
375,Etienne Capoue,78
376,Nathaniel Chalobah,36
377,Domingos Quina,4
378,Aaron Cresswell,79
379,Angelo Ogbonna,81
380,Arthur Masuaku,26
381,Pablo Zabaleta,10
382,Ryan Fredericks,74
383,Issa Diop,76
384,Fabián Balbuena,40
385,Winston Reid,0
386,Ben Johnson,6
387,Marko Arnautovic,0
388,Javier Hernández Balcázar,9
389,Alexandre Nascimento Costa Silva,0
390,Lukasz Fabianski,83
391,Michail Antonio,111
392,Felipe Anderson Pereira Gomes,66
393,Manuel Lanzini,50
394,Andriy Yarmolenko,70
395,Robert Snodgrass,87
396,Jack Wilshere,8
397,Declan Rice,105
398,Mark Noble,105
399,Carlos Sánchez,7
400,Grady Diangana,0
401,Pablo Fornals,93
402,Pedro Obiang,0
403,Matt Doherty,167
404,Jonathan Castro Otto,123
405,Conor Coady,118
406,Ryan Bennett,32
407,Willy Boly,97
408,Rúben Gonçalo Silva Nascimento Vinagre,32
409,Romain Saïss,103
410,Max Kilman,5
411,Raúl Jiménez,194
412,Diogo Jota,105
413,Rui Pedro dos Santos Patrício,153
414,John Ruddy,0
415,Will Norris,0
416,Rúben Diogo da Silva Neves,97
417,João Filipe Iria Santos Moutinho,113
418,Morgan Gibbs-White,11
419,Adama Traoré,130
420,Hélder Costa,0
421,Ivan Cavaleiro,0
422,Leander Dendoncker,100
423,Emiliano Martínez,33
424,Wesley Moraes,67
425,Jed Steer,1
426,Aaron Lennon,15
427,Christian Pulisic,127
428,Mateo Kovacic,68
429,James Justin,35
430,Josip Drmic,26
431,Patrick Roberts,3
432,Simon Moore,3
433,Che Adams,78
434,Moussa Djenepo,40
435,Craig Dawson,61
436,José Ángel Esmorís Tasende,11
437,Luke Freeman,13
438,Tanguy Ndombele,45
439,Tyrone Mings,90
440,Ezri Konsa Ngoyo,65
441,Jack Stacey,39
442,Erik Pieters,77
443,Jay Rodriguez,100
444,Víctor Camarasa,1
445,Youri Tielemans,117
446,Rodrigo Hernandez,92
447,Ralf Fahrmann,1
448,Phil Jagielka,6
449,Roberto Jimenez Gago,18
450,Bjorn Engels,42
451,Adrián San Miguel del Castillo,27
452,Sam Byram,32
453,Callum Robinson,33
454,Ravel Morrison,1
455,Sébastien Haller,102
456,Calum Chambers,42
457,Frédéric Guilbert,62
458,Mahmoud Ahmed Ibrahim Hassan,98
459,Kurt Zouma,62
460,Tammy Abraham,153
461,Michy Batshuayi,28
462,Robert Kenedy Nunes do Nascimento,0
463,Mason Mount,137
464,Jordan Ayew,132
465,Rhian Brewster,0
466,Joelinton Cássio Apolinário de Lira,78
467,Daniel Ceballos Fernández,57
468,Douglas Luiz Soares de Paulo,90
469,Lovre Kalinic,0
470,Harry Wilson,91
471,Philip Billing,68
472,Dan Burn,86
473,Reece James,61
474,Lewis Gibson,0
475,Mason Holgate,71
476,Jonas Lössl,0
477,Andy King,0
478,Axel Tuanzebe,7
479,Jack Colback,0
480,Jacob Murphy,0
481,Philip Heise,0
482,Dean Henderson,160
483,Ben Osborn,19
484,Wesley Hoedt,0
485,Cédric Soares,61
486,Troy Parrott,2
487,Jesús Vallejo Lázaro,1
488,Patrick Cutrone,23
489,Nicolas Pépé,106
490,Reiss Nelson,30
491,Joseph Willock,41
492,Marvelous Nakamba,43
493,Arnaut Danjuma Groeneveld,24
494,Aaron Ramsdale,126
495,Adam Webster,88
496,Neal Maupay,131
497,Bailey Peacock-Farrell,0
498,Gary Cahill,70
499,Georges-Kévin Nkoudou,1
500,Moise Kean,53
501,Jean-Philippe Gbamin,4
502,Jetro Willems,64
503,Rolando Aarons,0
504,Allan Saint-Maximin,92
505,Oliver McBurnie,86
506,Sofiane Boufal,34
507,Gabriel Teodoro Martinelli Silva,39
508,Kieran Tierney,42
509,Aaron Mooy,80
510,Djibril Sidibé,74
511,Dennis Praet,54
512,João Pedro Cavaco Cancelo,45
513,Emil Krafth,37
514,Andy Carroll,34
515,Ibrahim Amadou,18
516,Michael Verrips,0
517,Muhamed Beši?,9
518,Giovani Lo Celso,54
519,Ryan Sessegnon,9
520,Danny Welbeck,39
521,Heurelho da Silva Gomes,0
522,Ismaïla Sarr,107
523,Albian Ajeti,9
524,Fikayo Tomori,48
525,Pedro Lomba Neto,57
526,Andy Lonergan,0
527,Caoimhin Kelleher,0
528,Kevin Danso,9
529,Billy Gilmour,9
530,Daniel N’Lundulu,0
531,Aaron Connolly,61
532,Adam Idah,13
533,Matthew Longstaff,27
534,Jairo Riedewald,22
535,Steven Alzate,33
536,Tudor Baluta,0
537,Bukayo Saka,71
538,Dimitri Foulquier,1
539,Eric Garcia,38
540,Alfie Whiteman,0
541,Addji Keaninkin Marc-Israel Guehi,0
542,Ezequiel Schelotto,9
543,Leon Clarke,2
544,Harry Lewis,0
545,Harvey Elliott,2
546,Brandon Williams,51
547,Dwight Gayle,58
548,David Martin,20
549,Akin Famewo,1
550,Archie Mair,0
551,Michel Vorm,0
552,Stephen Henderson,0
553,Beni Baningime,0
554,Brandon Austin,0
555,Bernard Ashley-Seal,0
556,Taylor Perry,0
557,Anthony Gordon,17
558,Scott Carson,0
559,Ayotomiwa Dele-Bashiru,0
560,Christian Saydee,0
561,Gavin Kilkenny,0
562,Owen Otasowie,0
563,Luke Cundle,0
564,Nathan Holland,2
565,Curtis Jones,13
566,Mace Goodridge,0
567,Anthony Driscoll-Glennon,0
568,Oumar Niasse,3
569,Mihai-Alexandru Dobre,0
570,Neco Williams,14
571,Robert Elliot,0
572,Emile Smith Rowe,4
573,Rhu-endly Martina,0
574,Sam Woods,0
575,Tyrick Mitchell,4
576,Brandon Pierrick,2
577,James Daly,0
578,Jeremy Ngakia,8
579,Japhet Tanganga,17
580,Joseph Anang,0
581,Indiana Vassilev,4
582,William Smallbone,24
583,Tyreece John-Jules,0
584,Tariq Lamptey,26
585,Oskar Buur,0
586,José Reina,41
587,Gedson Carvalho Fernandes,7
588,Nya Kirby,0
589,Bernardo Costa Da Rosa,0
590,Gonçalo Bento Soares Cardoso,0
591,Nathaniel Phillips,0
592,Takumi Minamino,11
593,Jack Rodwell,1
594,João Pedro Junqueira de Jesus,3
595,Ryan Giles,0
596,Abd-Al-Ali Morakinyo Olaposi Koiki,0
597,Filip Benkovic,0
598,Thomas Allan,0
599,Kelland Watts,1
600,Ondrej Duda,24
601,Lukas Rupp,19
602,Ignacio Pussetto,6
603,Darren Randolph,3
604,Giovanni McGregor,0
605,Bruno André Cavaco Jordao,1
606,Liam Gibson,0
607,Jack Robinson,14
608,Nabil Bentaleb,19
609,Mbwana Samatta,29
610,Valentino Lazaro,19
611,Richairo Zivkovic,5
612,Pablo Marí,8
613,Steven Bergwijn,43
614,Tomas Soucek,41
615,Josh Brownhill,21
616,Bruno Miguel Borges Fernandes,117
617,Sander Berge,40
618,Daniel Castelo Podence,25
619,Josh Martin,5
620,Zech Medley,0
621,Borja González Tomás,2
622,Odion Ighalo,11
623,Panagiotis Retsos,0
624,Jarrod Bowen,44
625,Alexis Mac Allister,12
626,Nathan Tella,1
627,Ki-Jana Hoever,0
628,João Manuel Neves Virgínia,0
629,Harvey White,0
630,Faustino Anjorin,1
631,Nikola Tavares,0
632,Armando Broja,1
633,Jarrad Branthwaite,11
634,Jimmy Dunne,0
635,Bobby Thomas,0
636,Max Thompson,1
637,Lukas Jensen,0
638,Alexandre Jankewitz,0
639,Matt Macey,0
640,Matthew Smith,0
641,Taylor Harwood-Bellis,0
642,Cole Palmer,0
643,Tommy Doyle,1
644,Jake Vokins,2
645,Adalberto Peñaranda,0
646,Jordan Thomas,1
647,Alfie Lewis,0
648,Leonardo Campana,0
649,Josh Benson,0
650,Will Ferry,0
651,Dennis Cirkin,0
652,Jack Young,0
653,Joel Mumbongo,0
654,Lewis Bate,0
655,Luke Thomas,15
656,Kaine Hayden,0
657,Timothy Fosu-Mensah,7
658,George Hirst,2
659,Darnell Johnson,0
660,Jacob Maddox,0
661,Conor Coventry,0
662,Alex Cochrane,0
663,John-Kymani Gordon,0
664,Ellis Simms,0
665,Daniel Adshead,0
