Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Uriel van Aalst,Unnamed: 2_level_1,FW,Willem II,Unnamed: 5_level_1,Unnamed: 6_level_1,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,21,20,1656,18.4,0,0,0,0,0,0,4,0,0.6,0.6,1.3,1.9,39,86,64,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11
Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,33,30,2689,29.9,8,4,12,8,0,0,8,0,5.3,5.3,2.9,8.2,51,116,80,0.27,0.13,0.40,0.27,0.40,0.18,0.10,0.28,0.18,0.28
Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,17,3,324,3.6,1,0,1,1,0,0,1,0,1.0,1.0,0.4,1.4,18,15,44,0.28,0.00,0.28,0.28,0.28,0.28,0.11,0.40,0.28,0.40
Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,13,10,778,8.6,1,0,1,1,0,0,2,0,1.3,1.3,0.9,2.2,31,22,60,0.12,0.00,0.12,0.12,0.12,0.15,0.11,0.26,0.15,0.26
Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,22,14,1224,13.6,0,1,1,0,0,0,5,0,0.3,0.3,1.3,1.6,25,39,61,0.00,0.07,0.07,0.00,0.07,0.02,0.10,0.12,0.02,0.12
Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,24,20,1748,19.4,1,0,1,1,0,0,3,0,1.5,1.5,0.1,1.6,13,59,0,0.05,0.00,0.05,0.05,0.05,0.08,0.01,0.08,0.08,0.08
Olivier Aertssen,nl NED,DF,Zwolle,19,2004,20,14,1116,12.4,1,0,1,1,0,0,0,0,0.6,0.6,0.6,1.2,13,47,19,0.08,0.00,0.08,0.08,0.08,0.05,0.05,0.10,0.05,0.10
Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,22,5,703,7.8,1,0,1,1,0,0,3,0,0.7,0.7,0.9,1.7,35,21,55,0.13,0.00,0.13,0.13,0.13,0.10,0.12,0.22,0.10,0.22
Isaiah Ahmed,cw CUW,MF,Heerenveen,18,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Makan Aiko,fr FRA,FW,Fortuna Sittard,23,2001,22,13,1179,13.1,1,0,1,1,0,0,4,0,4.0,4.0,0.9,4.9,22,6,59,0.08,0.00,0.08,0.08,0.08,0.30,0.07,0.37,0.30,0.37
Chuba Akpom,eng ENG,FW,Ajax,28,1995,16,9,832,9.2,3,1,4,3,0,0,0,0,3.1,3.1,0.5,3.5,25,17,93,0.32,0.11,0.43,0.32,0.43,0.33,0.05,0.38,0.33,0.38
Hamdi Akujobi,nl NED,DF,Almere City,24,2000,28,27,2344,26.0,1,1,2,1,0,0,5,0,0.7,0.7,1.7,2.4,50,89,85,0.04,0.04,0.08,0.04,0.08,0.03,0.07,0.09,0.03,0.09
Gerald Alders,nl NED,DF,Twente,19,2005,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hussein Ali,iq IRQ,DF,Heerenveen,22,2002,6,1,212,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jaydon Amauri Banel,nl NED,FW,Ajax,19,2004,1,1,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,8,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18
Jamal Amofa,nl NED,DF,Go Ahead Eag,25,1998,2,2,158,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,10,0,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
Silas Andersen,dk DEN,MF,Utrecht,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plamen Andreev,bg BUL,GK,Feyenoord,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oliver Antman,fi FIN,"FW,MF",Go Ahead Eag,22,2001,32,28,2410,26.8,6,15,21,6,0,0,1,0,7.1,7.1,9.1,16.2,96,75,207,0.22,0.56,0.78,0.22,0.78,0.27,0.34,0.61,0.27,0.61
Anouar El Azzouzi,nl NED,"MF,DF",Zwolle,23,2001,33,33,2876,32.0,1,0,1,1,0,0,7,0,3.3,3.3,1.0,4.4,32,153,55,0.03,0.00,0.03,0.03,0.03,0.10,0.03,0.14,0.10,0.14
Julian Baas,nl NED,MF,Sparta R'dam,22,2002,13,9,850,9.4,0,2,2,0,0,0,1,0,0.1,0.1,1.1,1.3,8,44,6,0.00,0.21,0.21,0.00,0.21,0.02,0.12,0.14,0.02,0.14
Youri Baas,nl NED,DF,Ajax,21,2003,23,23,2040,22.7,1,0,1,1,0,0,2,0,0.7,0.7,0.3,1.0,18,115,6,0.04,0.00,0.04,0.04,0.04,0.03,0.01,0.04,0.03,0.04
Isaac Babadi,nl NED,MF,PSV Eindhoven,19,2005,8,1,175,1.9,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,14,32,11,0.51,0.00,0.51,0.51,0.51,0.36,0.18,0.54,0.36,0.54
Leandro Bacuna,cw CUW,"DF,MF",Groningen,32,1991,31,25,2330,25.9,4,3,7,1,3,4,8,0,4.8,1.7,2.9,4.6,44,97,100,0.15,0.12,0.27,0.04,0.15,0.19,0.11,0.30,0.06,0.18
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Thibo Baeten,be BEL,"MF,FW",Go Ahead Eag,22,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Esmir Bajraktarevic,ba BIH,"FW,DF",PSV Eindhoven,19,2005,4,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,1,3,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50,0.50
Saïd Bakari,km COM,DF,Sparta R'dam,29,1994,26,24,2144,23.8,1,0,1,1,0,0,3,0,0.7,0.7,0.6,1.2,44,106,64,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
Johan Bakayoko,be BEL,FW,PSV Eindhoven,21,2003,30,17,1579,17.5,9,1,10,9,0,0,1,0,6.0,6.0,4.1,10.2,130,63,274,0.51,0.06,0.57,0.51,0.57,0.34,0.24,0.58,0.34,0.58
Nordin Bakker,nl NED,GK,Almere City,26,1997,34,34,3050,33.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Max Balard,au AUS,MF,NAC Breda,23,2000,33,33,2937,32.6,1,1,2,1,0,0,6,0,0.3,0.3,1.2,1.5,31,130,18,0.03,0.03,0.06,0.03,0.06,0.01,0.04,0.04,0.01,0.04
Alex Balboa,gq EQG,MF,Almere City,23,2001,10,4,405,4.5,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.5,3,16,3,0.22,0.00,0.22,0.22,0.22,0.07,0.03,0.10,0.07,0.10
Théo Barbet,fr FRA,DF,Almere City,23,2001,12,10,863,9.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,24,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Vasilios Barkas,gr GRE,GK,Utrecht,30,1994,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuel Bastien,cd COD,"MF,FW",Fortuna Sittard,27,1996,23,13,1294,14.4,0,2,2,0,0,0,0,0,0.4,0.4,2.4,2.8,10,51,36,0.00,0.14,0.14,0.00,0.14,0.03,0.17,0.20,0.03,0.20
Riechedly Bazoer,nl NED,MF,AZ Alkmaar,27,1996,1,0,3,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guus Beaumont,nl NED,MF,Almere City,22,2002,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thomas Beelen,nl NED,DF,Feyenoord,23,2001,25,18,1698,18.9,1,1,2,1,0,0,1,0,0.8,0.8,0.2,1.0,27,131,8,0.05,0.05,0.11,0.05,0.11,0.04,0.01,0.05,0.04,0.05
Raffael Behounek,at AUT,DF,Willem II,27,1997,31,31,2777,30.9,2,1,3,2,0,0,5,1,1.6,1.6,0.5,2.1,16,125,7,0.06,0.03,0.10,0.06,0.10,0.05,0.02,0.07,0.05,0.07
Kristijan Belic,rs SRB,MF,AZ Alkmaar,23,2001,15,6,585,6.5,1,0,1,1,0,0,4,0,0.4,0.4,0.9,1.3,10,46,15,0.15,0.00,0.15,0.15,0.15,0.06,0.13,0.20,0.06,0.20
Mimeirhel Benita,nl NED,DF,Heracles Almelo,20,2003,29,22,2038,22.6,0,1,1,0,0,0,3,0,0.3,0.3,1.0,1.3,23,71,52,0.00,0.04,0.04,0.00,0.04,0.02,0.04,0.06,0.02,0.06
Walter Benítez,ar ARG,GK,PSV Eindhoven,31,1993,34,34,3015,33.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mitchell van Bergen,nl NED,FW,Sparta R'dam,24,1999,14,14,1125,12.5,3,2,5,3,0,0,0,0,2.3,2.3,1.9,4.2,62,16,122,0.24,0.16,0.40,0.24,0.40,0.19,0.15,0.34,0.19,0.34
Mitchell van Bergen,nl NED,FW,Twente,24,1999,15,9,798,8.9,0,0,0,0,0,0,0,0,1.1,1.1,0.9,2.0,59,18,98,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.22,0.12,0.22
Thom van Bergen,nl NED,FW,Groningen,20,2004,34,29,2470,27.4,5,1,6,5,0,0,3,0,8.3,8.3,2.5,10.8,27,37,151,0.18,0.04,0.22,0.18,0.22,0.30,0.09,0.39,0.30,0.39
Steven Berghuis,nl NED,"FW,MF",Ajax,32,1991,26,16,1429,15.9,2,5,7,1,1,2,2,0,3.8,2.2,5.6,7.8,39,97,115,0.13,0.31,0.44,0.06,0.38,0.24,0.35,0.59,0.14,0.49
Steven Bergwijn,nl NED,FW,Ajax,26,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,7,0.00,0.00,0.00,0.00,0.00,0.37,0.17,0.54,0.37,0.54
Gijs Besselink,nl NED,MF,Twente,20,2004,13,3,321,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,12,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Daniel Bielica,pl POL,GK,NAC Breda,25,1999,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Adrian Blake,eng ENG,"FW,MF",Utrecht,19,2005,17,2,468,5.2,3,2,5,3,0,0,1,0,0.8,0.8,2.0,2.8,16,17,44,0.58,0.38,0.96,0.58,0.96,0.16,0.38,0.54,0.16,0.54
Thijmen Blokzijl,nl NED,DF,Groningen,19,2005,28,25,2226,24.7,1,0,1,1,0,0,1,1,1.0,1.0,0.0,1.1,10,78,1,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04
Ofosu Boakye,,FW,Go Ahead Eag,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,0,0,2,0.00,0.00,0.00,0.00,0.00,21.21,0.00,21.21,21.21,21.21
Paweł Bochniewicz,pl POL,DF,Heerenveen,28,1996,13,13,1109,12.3,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.9,8,62,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Jeremy Bokila,cd COD,FW,Willem II,35,1988,29,13,1376,15.3,3,1,4,2,1,1,7,1,3.3,2.5,0.7,3.2,13,26,51,0.20,0.07,0.26,0.13,0.20,0.21,0.04,0.26,0.16,0.21
Ruben van Bommel,nl NED,FW,AZ Alkmaar,19,2004,24,17,1491,16.6,3,5,8,3,0,0,4,0,4.5,4.5,3.3,7.8,52,82,133,0.18,0.30,0.48,0.18,0.48,0.27,0.20,0.47,0.27,0.47
Taylor Booth,us USA,"FW,MF",Utrecht,23,2001,9,2,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,4,12,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Taylor Booth,us USA,FW,Twente,23,2001,6,4,271,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,9,8,23,0.00,0.33,0.33,0.00,0.33,0.03,0.20,0.23,0.03,0.23
Olivier Boscagli,fr FRA,DF,PSV Eindhoven,26,1997,30,30,2562,28.5,1,6,7,1,0,0,2,0,1.5,1.5,4.0,5.5,43,363,16,0.04,0.21,0.25,0.04,0.25,0.05,0.14,0.19,0.05,0.19
Jesse Bosch,nl NED,MF,Willem II,24,2000,33,32,2713,30.1,6,0,6,6,0,0,7,0,2.6,2.6,1.9,4.5,30,81,73,0.20,0.00,0.20,0.20,0.20,0.09,0.06,0.15,0.09,0.15
Sven Bouland,nl NED,DF,Groningen,,,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17
Rayane Bounida,be BEL,FW,Ajax,18,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Can Bozdogan,de GER,MF,Utrecht,23,2001,9,4,402,4.5,1,1,2,1,0,0,2,0,0.6,0.6,0.1,0.6,5,17,11,0.22,0.22,0.45,0.22,0.45,0.13,0.01,0.15,0.13,0.15
Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,30,1993,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oliver Braude,no NOR,DF,Heerenveen,20,2004,33,31,2607,29.0,0,2,2,0,0,0,10,0,0.4,0.4,0.8,1.2,70,167,66,0.00,0.07,0.07,0.00,0.07,0.01,0.03,0.04,0.01,0.04
Myron van Brederode,nl NED,FW,AZ Alkmaar,21,2003,3,2,171,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,12,14,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.13,0.10,0.13
Michael Bresser,nl NED,DF,PSV Eindhoven,17,2007,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,20,2003,26,23,2059,22.9,10,5,15,10,0,0,4,0,6.3,6.3,4.0,10.3,46,125,131,0.44,0.22,0.66,0.44,0.66,0.28,0.17,0.45,0.28,0.45
Brian Brobbey,nl NED,FW,Ajax,22,2002,30,22,1555,17.3,4,3,7,4,0,0,6,0,10.2,10.2,1.5,11.8,18,19,168,0.23,0.17,0.41,0.23,0.41,0.59,0.09,0.68,0.59,0.68
Michael Brouwer,nl NED,GK,Utrecht,31,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luuk Brouwers,nl NED,MF,Heerenveen,26,1998,24,23,1908,21.2,3,2,5,3,0,0,5,0,3.5,3.5,1.2,4.7,25,87,80,0.14,0.09,0.24,0.14,0.24,0.16,0.06,0.22,0.16,0.22
Jordy Bruijn,nl NED,MF,Heracles Almelo,28,1996,9,3,307,3.4,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,7,12,15,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.18,0.13,0.18
Max Bruns,nl NED,DF,Twente,21,2002,23,19,1635,18.2,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,23,81,3,0.00,0.06,0.06,0.00,0.06,0.04,0.03,0.07,0.04,0.07
Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,32,1992,22,14,1155,12.8,3,2,5,3,0,0,5,0,2.6,2.6,2.6,5.2,18,40,42,0.23,0.16,0.39,0.23,0.39,0.20,0.20,0.40,0.20,0.40
Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,25,1998,12,2,308,3.4,0,1,1,0,0,0,0,0,1.8,1.8,1.1,2.9,7,3,25,0.00,0.29,0.29,0.00,0.29,0.54,0.31,0.85,0.54,0.85
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Charles-Andréas Brym,ca CAN,FW,Almere City,25,1998,17,16,1289,14.3,3,2,5,3,0,0,1,0,4.0,4.0,1.5,5.5,18,27,62,0.21,0.14,0.35,0.21,0.35,0.28,0.10,0.38,0.28,0.38
Hugo Bueno,es ESP,DF,Feyenoord,21,2002,20,14,1197,13.3,0,3,3,0,0,0,1,0,0.5,0.5,2.5,3.0,61,48,79,0.00,0.23,0.23,0.00,0.23,0.03,0.19,0.22,0.03,0.22
Thomas Buitink,nl NED,"FW,MF",Zwolle,24,2000,13,2,246,2.7,0,0,0,0,0,0,0,0,1.1,1.1,0.2,1.3,2,5,16,0.00,0.00,0.00,0.00,0.00,0.39,0.08,0.47,0.39,0.47
Ezequiel Bullaude,ar ARG,"MF,FW",Fortuna Sittard,23,2000,28,25,2058,22.9,6,1,7,5,1,2,2,0,6.1,4.5,1.7,6.3,15,46,67,0.26,0.04,0.31,0.22,0.26,0.27,0.08,0.34,0.20,0.27
Abdurrahman Burak Sayın,,FW,Fortuna Sittard,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33
Maxime Busi,be BEL,DF,NAC Breda,24,1999,13,9,862,9.6,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.0,25,41,43,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11
Zico Buurmeester,nl NED,"MF,FW",AZ Alkmaar,22,2002,27,12,1195,13.3,4,1,5,4,0,0,0,0,2.9,2.9,1.1,4.1,21,61,40,0.30,0.08,0.38,0.30,0.38,0.22,0.09,0.31,0.22,0.31
Àlex Carbonell,es ESP,MF,Almere City,26,1997,11,0,238,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,3,34,6,0.00,0.00,0.00,0.00,0.00,0.03,0.23,0.26,0.03,0.26
Julián Carranza,ar ARG,FW,Feyenoord,24,2000,21,9,822,9.1,4,1,5,4,0,0,1,0,5.8,5.8,0.8,6.5,4,17,39,0.44,0.11,0.55,0.44,0.55,0.63,0.09,0.72,0.63,0.72
Stephano Carrillo,mx MEX,FW,Feyenoord,18,2006,3,0,52,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,8,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18
Yoann Cathline,fr FRA,FW,Utrecht,22,2002,25,23,1945,21.6,6,5,11,6,0,0,1,0,3.3,3.3,3.0,6.3,111,68,186,0.28,0.23,0.51,0.28,0.51,0.15,0.14,0.29,0.15,0.29
Kayky Chagas,br BRA,"FW,DF",Sparta R'dam,21,2003,6,2,120,1.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,7,3,13,0.00,0.00,0.00,0.00,0.00,0.38,0.06,0.45,0.38,0.45
Jordy Clasie,nl NED,MF,AZ Alkmaar,33,1991,23,20,1820,20.2,0,2,2,0,0,0,3,0,0.4,0.4,2.3,2.7,14,161,31,0.00,0.10,0.10,0.00,0.10,0.02,0.11,0.13,0.02,0.13
