Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages
Erling Haaland,no NOR,CF,Manchester City,24,"£ 525,000 (€ 605,921, $702,837)","£ 27,300,000 (€ 31,507,883, $36,547,520)"
Mohamed Salah,eg EGY,RW,Liverpool,33,"£ 400,000 (€ 461,654, $535,495)","£ 20,800,000 (€ 24,006,006, $27,845,730)"
Casemiro,br BRA,DM,Manchester Utd,33,"£ 350,000 (€ 403,947, $468,558)","£ 18,200,000 (€ 21,005,255, $24,365,013)"
Virgil van Dijk,nl NED,CB,Liverpool,33,"£ 350,000 (€ 403,947, $468,558)","£ 18,200,000 (€ 21,005,255, $24,365,013)"
Raheem Sterling,eng ENG,RW,Chelsea,30,"£ 325,000 (€ 375,094, $435,090)","£ 16,900,000 (€ 19,504,880, $22,624,655)"
Bruno Fernandes,pt POR,AM,Manchester Utd,30,"£ 300,000 (€ 346,240, $401,621)","£ 15,600,000 (€ 18,004,504, $20,884,297)"
Marcus Rashford,eng ENG,LW,Manchester Utd,27,"£ 300,000 (€ 346,240, $401,621)","£ 15,600,000 (€ 18,004,504, $20,884,297)"
Bernardo Silva,pt POR,AM,Manchester City,30,"£ 300,000 (€ 346,240, $401,621)","£ 15,600,000 (€ 18,004,504, $20,884,297)"
Jack Grealish,eng ENG,LW,Manchester City,29,"£ 300,000 (€ 346,240, $401,621)","£ 15,600,000 (€ 18,004,504, $20,884,297)"
Omar Marmoush,eg EGY,CF,Manchester City,26,"£ 295,000 (€ 340,470, $394,927)","£ 15,340,000 (€ 17,704,429, $20,536,226)"
Kai Havertz,de GER,CF,Arsenal,26,"£ 280,000 (€ 323,158, $374,846)","£ 14,560,000 (€ 16,804,204, $19,492,011)"
Gabriel Jesus,br BRA,CF,Arsenal,28,"£ 265,000 (€ 305,846, $354,765)","£ 13,780,000 (€ 15,903,979, $18,447,796)"
Jadon Sancho,eng ENG,LW,Manchester Utd,25,"£ 250,000 (€ 288,534, $334,684)","£ 13,000,000 (€ 15,003,754, $17,403,581)"
Mason Mount,eng ENG,AM,Manchester Utd,26,"£ 250,000 (€ 288,534, $334,684)","£ 13,000,000 (€ 15,003,754, $17,403,581)"
John Stones,eng ENG,CB,Manchester City,31,"£ 250,000 (€ 288,534, $334,684)","£ 13,000,000 (€ 15,003,754, $17,403,581)"
Reece James,eng ENG,RB,Chelsea,25,"£ 250,000 (€ 288,534, $334,684)","£ 13,000,000 (€ 15,003,754, $17,403,581)"
Declan Rice,eng ENG,CM,Arsenal,26,"£ 240,000 (€ 276,992, $321,297)","£ 12,480,000 (€ 14,403,604, $16,707,438)"
Martin Ødegaard,no NOR,AM,Arsenal,26,"£ 240,000 (€ 276,992, $321,297)","£ 12,480,000 (€ 14,403,604, $16,707,438)"
İlkay Gündoğan,de GER,CM,Manchester City,34,"£ 230,000 (€ 265,451, $307,910)","£ 11,960,000 (€ 13,803,453, $16,011,295)"
Tijjani Reijnders,nl NED,CM,Manchester City,26,"£ 230,000 (€ 265,451, $307,910)","£ 11,960,000 (€ 13,803,453, $16,011,295)"
Phil Foden,eng ENG,RW,Manchester City,25,"£ 225,000 (€ 259,680, $301,216)","£ 11,700,000 (€ 13,503,378, $15,663,223)"
Rodri,es ESP,DM,Manchester City,29,"£ 220,000 (€ 253,910, $294,522)","£ 11,440,000 (€ 13,203,303, $15,315,151)"
Joško Gvardiol,hr CRO,LB,Manchester City,23,"£ 200,000 (€ 230,827, $267,747)","£ 10,400,000 (€ 12,003,003, $13,922,865)"
Wesley Fofana,fr FRA,CB,Chelsea,24,"£ 200,000 (€ 230,827, $267,747)","£ 10,400,000 (€ 12,003,003, $13,922,865)"
Bukayo Saka,eng ENG,RW,Arsenal,23,"£ 195,000 (€ 225,056, $261,054)","£ 10,140,000 (€ 11,702,928, $13,574,793)"
Matthijs de Ligt,nl NED,CB,Manchester Utd,25,"£ 195,000 (€ 225,056, $261,054)","£ 10,140,000 (€ 11,702,928, $13,574,793)"
Florian Wirtz,de GER,AM,Liverpool,22,"£ 195,000 (€ 225,056, $261,054)","£ 10,140,000 (€ 11,702,928, $13,574,793)"
Christopher Nkunku,fr FRA,AM,Chelsea,27,"£ 195,000 (€ 225,056, $261,054)","£ 10,140,000 (€ 11,702,928, $13,574,793)"
William Saliba,fr FRA,CB,Arsenal,24,"£ 190,000 (€ 219,286, $254,360)","£ 9,880,000 (€ 11,402,853, $13,226,722)"
Harry Maguire,eng ENG,CB,Manchester Utd,32,"£ 190,000 (€ 219,286, $254,360)","£ 9,880,000 (€ 11,402,853, $13,226,722)"
Son Heung-min,kr KOR,LW,Tottenham,32,"£ 190,000 (€ 219,286, $254,360)","£ 9,880,000 (€ 11,402,853, $13,226,722)"
Gabriel Martinelli,br BRA,LW,Arsenal,24,"£ 180,000 (€ 207,744, $240,973)","£ 9,360,000 (€ 10,802,703, $12,530,578)"
Matheus Cunha,br BRA,SS,Manchester Utd,26,"£ 180,000 (€ 207,744, $240,973)","£ 9,360,000 (€ 10,802,703, $12,530,578)"
Manuel Akanji,ch SUI,CB,Manchester City,29,"£ 180,000 (€ 207,744, $240,973)","£ 9,360,000 (€ 10,802,703, $12,530,578)"
Rúben Dias,pt POR,CB,Manchester City,28,"£ 180,000 (€ 207,744, $240,973)","£ 9,360,000 (€ 10,802,703, $12,530,578)"
Enzo Fernández,ar ARG,CM,Chelsea,24,"£ 180,000 (€ 207,744, $240,973)","£ 9,360,000 (€ 10,802,703, $12,530,578)"
Kyle Walker,eng ENG,RB,Manchester City,35,"£ 175,000 (€ 201,974, $234,279)","£ 9,100,000 (€ 10,502,628, $12,182,507)"
Marc Cucurella,es ESP,LB,Chelsea,26,"£ 175,000 (€ 201,974, $234,279)","£ 9,100,000 (€ 10,502,628, $12,182,507)"
James Maddison,eng ENG,AM,Tottenham,28,"£ 170,000 (€ 196,203, $227,585)","£ 8,840,000 (€ 10,202,553, $11,834,435)"
Cristian Romero,ar ARG,CB,Tottenham,27,"£ 165,000 (€ 190,432, $220,892)","£ 8,580,000 (€ 9,902,477, $11,486,363)"
Andrew Robertson,sct SCO,LB,Liverpool,31,"£ 160,000 (€ 184,662, $214,198)","£ 8,320,000 (€ 9,602,402, $11,138,292)"
Bruno Guimarães,br BRA,DM,Newcastle Utd,27,"£ 160,000 (€ 184,662, $214,198)","£ 8,320,000 (€ 9,602,402, $11,138,292)"
Nathan Aké,nl NED,CB,Manchester City,30,"£ 160,000 (€ 184,662, $214,198)","£ 8,320,000 (€ 9,602,402, $11,138,292)"
Pedro Neto,pt POR,RW,Chelsea,25,"£ 160,000 (€ 184,662, $214,198)","£ 8,320,000 (€ 9,602,402, $11,138,292)"
Ben White,eng ENG,RB,Arsenal,27,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Gabriel Magalhães,br BRA,CB,Arsenal,27,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Oleksandr Zinchenko,ua UKR,LB,Arsenal,28,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Luke Shaw,eng ENG,LB,Manchester Utd,29,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Jarrod Bowen,eng ENG,RW,West Ham,28,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Lucas Paquetá,br BRA,AM,West Ham,27,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Alexis Mac Allister,ar ARG,CM,Liverpool,26,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Alisson,br BRA,GK,Liverpool,32,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Federico Chiesa,it ITA,RW,Liverpool,27,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Ryan Gravenberch,nl NED,DM,Liverpool,23,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Boubacar Kamara,fr FRA,DM,Aston Villa,25,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Emiliano Martínez,ar ARG,GK,Aston Villa,32,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Youri Tielemans,be BEL,CM,Aston Villa,28,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Anthony Gordon,eng ENG,LW,Newcastle Utd,24,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Joelinton,br BRA,CM,Newcastle Utd,28,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Kalvin Phillips,eng ENG,DM,Manchester City,29,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Mateo Kovačić,hr CRO,CM,Manchester City,31,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Moisés Caicedo,ec ECU,DM,Chelsea,23,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Darwin Núñez,uy URU,CF,Liverpool,26,"£ 140,000 (€ 161,579, $187,423)","£ 7,280,000 (€ 8,402,102, $9,746,005)"
Amadou Onana,be BEL,DM,Aston Villa,23,"£ 140,000 (€ 161,579, $187,423)","£ 7,280,000 (€ 8,402,102, $9,746,005)"
Donyell Malen,nl NED,RW,Aston Villa,26,"£ 140,000 (€ 161,579, $187,423)","£ 7,280,000 (€ 8,402,102, $9,746,005)"
Noussair Mazraoui,ma MAR,RB,Manchester Utd,27,"£ 135,000 (€ 155,808, $180,730)","£ 7,020,000 (€ 8,102,027, $9,397,934)"
Mikel Merino,es ESP,CM,Arsenal,29,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Ollie Watkins,eng ENG,CF,Aston Villa,29,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Matheus Nunes,pt POR,CM,Manchester City,26,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Cole Palmer,eng ENG,AM,Chelsea,23,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
João Félix,pt POR,SS,Chelsea,25,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Bernd Leno,de GER,GK,Fulham,33,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Philippe Coutinho,br BRA,AM,Aston Villa,33,"£ 125,000 (€ 144,267, $167,342)","£ 6,500,000 (€ 7,501,877, $8,701,790)"
Jordan Pickford,eng ENG,GK,Everton,31,"£ 125,000 (€ 144,267, $167,342)","£ 6,500,000 (€ 7,501,877, $8,701,790)"
Riccardo Calafiori,it ITA,LB,Arsenal,23,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Amad Diallo,ci CIV,RW,Manchester Utd,22,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
André Onana,cm CMR,GK,Manchester Utd,29,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Lisandro Martínez,ar ARG,CB,Manchester Utd,27,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Manuel Ugarte,,DM,Manchester Utd,24,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Alphonse Areola,fr FRA,GK,West Ham,32,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Cody Gakpo,nl NED,LW,Liverpool,26,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Dominik Szoboszlai,hu HUN,AM,Liverpool,24,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
John McGinn,sct SCO,CM,Aston Villa,30,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Leon Bailey,jm JAM,RW,Aston Villa,27,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Lucas Digne,fr FRA,LB,Aston Villa,31,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Alexander Isak,se SWE,CF,Newcastle Utd,25,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Kieran Trippier,eng ENG,RB,Newcastle Utd,34,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Sandro Tonali,it ITA,CM,Newcastle Utd,25,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Tosin Adarabioyo,eng ENG,CB,Chelsea,27,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Idrissa Gana Gueye,sn SEN,DM,Everton,35,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Jarrad Branthwaite,eng ENG,CB,Everton,23,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Leny Yoro,,CB,Manchester Utd,19,"£ 115,000 (€ 132,726, $153,955)","£ 5,980,000 (€ 6,901,727, $8,005,647)"
James Ward-Prowse,eng ENG,CM,West Ham,30,"£ 115,000 (€ 132,726, $153,955)","£ 5,980,000 (€ 6,901,727, $8,005,647)"
Dejan Kulusevski,se SWE,AM,Tottenham,25,"£ 110,000 (€ 126,955, $147,261)","£ 5,720,000 (€ 6,601,652, $7,657,576)"
Antony,br BRA,RW,Manchester Utd,25,"£ 105,000 (€ 121,184, $140,567)","£ 5,460,000 (€ 6,301,577, $7,309,504)"
Joshua Zirkzee,nl NED,CF,Manchester Utd,24,"£ 105,000 (€ 121,184, $140,567)","£ 5,460,000 (€ 6,301,577, $7,309,504)"
Daichi Kamada,jp JPN,AM,Crystal Palace,28,"£ 105,000 (€ 121,184, $140,567)","£ 5,460,000 (€ 6,301,577, $7,309,504)"
Nikola Milenković,rs SRB,CB,Nott'ham Forest,27,"£ 105,000 (€ 121,184, $140,567)","£ 5,460,000 (€ 6,301,577, $7,309,504)"
David Raya,es ESP,GK,Arsenal,29,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Reiss Nelson,eng ENG,RW,Arsenal,25,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Takehiro Tomiyasu,jp JPN,RB,Arsenal,26,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Dean Henderson,eng ENG,GK,Crystal Palace,28,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Eberechi Eze,eng ENG,AM,Crystal Palace,27,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Edson Álvarez,mx MEX,DM,West Ham,27,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Max Kilman,eng ENG,CB,West Ham,28,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Jeremie Frimpong,nl NED,RB,Liverpool,24,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Ian Maatsen,nl NED,LB,Aston Villa,23,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Pau Torres,es ESP,CB,Aston Villa,28,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Tyrone Mings,eng ENG,CB,Aston Villa,32,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Matt Targett,eng ENG,LB,Newcastle Utd,29,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Ederson,br BRA,GK,Manchester City,31,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Ben Chilwell,eng ENG,LB,Chelsea,28,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Levi Colwill,eng ENG,CB,Chelsea,22,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Liam Delap,,CF,Chelsea,22,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Mykhailo Mudryk,ua UKR,LW,Chelsea,24,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Nicolas Jackson,sn SEN,CF,Chelsea,24,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
James Tarkowski,eng ENG,CB,Everton,32,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Raúl Jiménez,mx MEX,CF,Fulham,34,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Emerson Palmieri,it ITA,LB,West Ham,30,"£ 95,000 (€ 109,643, $127,180)","£ 4,940,000 (€ 5,701,426, $6,613,361)"
Jurriën Timber,nl NED,RB,Arsenal,24,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Leandro Trossard,be BEL,LW,Arsenal,30,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Dominic Solanke,eng ENG,CF,Tottenham,27,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Richarlison,br BRA,CF,Tottenham,28,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Eddie Nketiah,eng ENG,CF,Crystal Palace,26,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Odsonne Édouard,fr FRA,CF,Crystal Palace,27,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Jack Harrison,eng ENG,RW,Leeds United,28,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Aaron Wan-Bissaka,eng ENG,RB,West Ham,27,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Niclas Füllkrug,de GER,CF,West Ham,32,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Tomáš Souček,cz CZE,DM,West Ham,30,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Leander Dendoncker,be BEL,DM,Aston Villa,30,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Gonçalo Guedes,pt POR,LW,Wolves,28,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Sven Botman,nl NED,CB,Newcastle Utd,25,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Stefan Ortega,de GER,GK,Manchester City,32,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Benoît Badiashile,fr FRA,CB,Chelsea,24,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
