Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages
Brandon Austin,eng ENG,GK,Tottenham,26,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Romain Esse,,RW,Crystal Palace,20,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Enes Ünal,tr TUR,CF,Bournemouth,28,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Julio Soler,,LB,Bournemouth,20,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Ilia Gruev,bg BUL,DM,Leeds United,25,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Joe Gelhardt,eng ENG,CF,Leeds United,23,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Joël Piroe,nl NED,CF,Leeds United,25,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Mateo Joseph,,CF,Leeds United,21,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Wes Foderingham,eng ENG,GK,West Ham,34,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Ben Doak,,RW,Liverpool,19,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Calvin Ramsay,sct SCO,RB,Liverpool,21,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Curtis Jones,eng ENG,CM,Liverpool,24,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Andrés García,,RB,Aston Villa,22,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Jørgen Strand Larsen,no NOR,CF,Wolves,25,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Nasser Djiga,bf BFA,CB,Wolves,22,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Pedro Lima,,RB,Wolves,19,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Alan Browne,ie IRL,CM,Sunderland,30,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Wilson Isidor,fr FRA,CF,Sunderland,24,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Han-Noah Massengo,fr FRA,CM,Burnley,23,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Hannes Delcroix,be BEL,CB,Burnley,26,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Josh Laurent,eng ENG,CM,Burnley,30,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Lucas Pires,,LB,Burnley,24,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Maxime Estève,fr FRA,CB,Burnley,23,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Michael Obafemi,ie IRL,CF,Burnley,24,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Zian Flemming,nl NED,CF,Burnley,26,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Claudio Echeverri,,AM,Manchester City,19,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
James McAtee,,AM,Manchester City,22,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Jayden Meghoma,,LB,Brentford,19,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Yegor Yarmolyuk,,CM,Brentford,21,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Yunus Emre Konak,,DM,Brentford,19,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Aarón Anselmino,,CB,Chelsea,20,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Andrew Moran,,AM,Brighton,21,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Eiran Cashin,ie IRL,CB,Brighton,23,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Julio Enciso,py PAR,AM,Brighton,21,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Malick Yalcouyé,,LM,Brighton,19,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Stefanos Tzimas,,CF,Brighton,19,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Tom McGill,,GK,Brighton,25,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Carlos Miguel,br BRA,GK,Nott'ham Forest,26,"£ 15,000 (€ 17,312, $20,081)","£ 780,000 (€ 900,225, $1,044,215)"
Enso González,,LW,Wolves,20,"£ 12,500 (€ 14,427, $16,734)","£ 650,000 (€ 750,188, $870,179)"
Patrick Roberts,eng ENG,RW,Sunderland,28,"£ 12,500 (€ 14,427, $16,734)","£ 650,000 (€ 750,188, $870,179)"
Carlos Baleba,,DM,Brighton,21,"£ 12,500 (€ 14,427, $16,734)","£ 650,000 (€ 750,188, $870,179)"
Simon Adingra,ci CIV,LW,Brighton,23,"£ 12,500 (€ 14,427, $16,734)","£ 650,000 (€ 750,188, $870,179)"
Luke Harris,,AM,Fulham,20,"£ 12,500 (€ 14,427, $16,734)","£ 650,000 (€ 750,188, $870,179)"
Caleb Wiley,us USA,LB,Chelsea,20,"£ 12,000 (€ 13,850, $16,065)","£ 624,000 (€ 720,180, $835,372)"
Karl Jakob Hein,ee EST,GK,Arsenal,23,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Ethan Wheatley,,CF,Manchester Utd,19,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Joe Whitworth,,GK,Crystal Palace,21,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Malcolm Ebiowei,eng ENG,RW,Crystal Palace,21,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Isaac Schmidt,ch SUI,RB,Leeds United,25,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Rhys Williams,eng ENG,CB,Liverpool,24,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Joe Gauci,,GK,Aston Villa,24,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Chiquinho,pt POR,LW,Wolves,25,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Hugo Bueno,,LB,Wolves,22,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Joe Hodge,,DM,Wolves,22,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Tom King,wls WAL,GK,Wolves,30,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Tommy Doyle,eng ENG,CM,Wolves,23,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Anthony Patterson,eng ENG,GK,Sunderland,25,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Dennis Cirkin,,LB,Sunderland,23,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Darko Churlinov,mk MKD,LW,Burnley,24,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Etienne Green,eng ENG,GK,Burnley,24,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Václav Hladký,cz CZE,GK,Burnley,34,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Harrison Ashby,,RB,Newcastle Utd,23,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Mark Gillespie,eng ENG,GK,Newcastle Utd,33,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Ellery Balcombe,eng ENG,GK,Brentford,25,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Hákon Rafn Valdimarsson,,GK,Brentford,23,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Kevin Schade,de GER,LW,Brentford,23,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Alfie Gilchrist,,RB,Chelsea,21,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Mike Penders,,GK,Chelsea,19,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Amario Cozier-Duberry,,RW,Brighton,20,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Jack Hinshelwood,,CM,Brighton,20,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Tyler Bindon,,CB,Nott'ham Forest,20,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Wayne Hennessey,wls WAL,GK,Nott'ham Forest,38,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Josh King,,CM,Fulham,18,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Steven Benda,de GER,GK,Fulham,26,"£ 10,000 (€ 11,541, $13,387)","£ 520,000 (€ 600,150, $696,143)"
Ian Poveda,eng ENG,RW,Sunderland,25,"£ 9,000 (€ 10,387, $12,049)","£ 468,000 (€ 540,135, $626,529)"
Andreas Hountondji,bj BEN,CF,Burnley,22,"£ 8,500 (€ 9,810, $11,379)","£ 442,000 (€ 510,128, $591,722)"
Oliver Sonne,,RB,Burnley,24,"£ 8,500 (€ 9,810, $11,379)","£ 442,000 (€ 510,128, $591,722)"
Tyler Morton,,DM,Liverpool,22,"£ 8,000 (€ 9,233, $10,710)","£ 416,000 (€ 480,120, $556,915)"
Lamare Bogarde,,DM,Aston Villa,21,"£ 8,000 (€ 9,233, $10,710)","£ 416,000 (€ 480,120, $556,915)"
Bastien Meupiyou,,CB,Wolves,19,"£ 8,000 (€ 9,233, $10,710)","£ 416,000 (€ 480,120, $556,915)"
Yasin Ayari,,CM,Brighton,21,"£ 8,000 (€ 9,233, $10,710)","£ 416,000 (€ 480,120, $556,915)"
Eric da Silva Moreira,,RM,Nott'ham Forest,19,"£ 8,000 (€ 9,233, $10,710)","£ 416,000 (€ 480,120, $556,915)"
Dane Scarlett,,CF,Tottenham,21,"£ 7,500 (€ 8,656, $10,041)","£ 390,000 (€ 450,113, $522,107)"
Min-hyeok Yang,,RW,Tottenham,19,"£ 7,500 (€ 8,656, $10,041)","£ 390,000 (€ 450,113, $522,107)"
Jesurun Rak-Sakyi,,RW,Crystal Palace,22,"£ 7,500 (€ 8,656, $10,041)","£ 390,000 (€ 450,113, $522,107)"
Remi Matthews,eng ENG,GK,Crystal Palace,31,"£ 7,500 (€ 8,656, $10,041)","£ 390,000 (€ 450,113, $522,107)"
Luke O'Nien,eng ENG,CB,Sunderland,30,"£ 7,500 (€ 8,656, $10,041)","£ 390,000 (€ 450,113, $522,107)"
Timothee Pembele,fr FRA,RB,Sunderland,22,"£ 7,500 (€ 8,656, $10,041)","£ 390,000 (€ 450,113, $522,107)"
Jaydon Banel,,LW,Burnley,20,"£ 7,500 (€ 8,656, $10,041)","£ 390,000 (€ 450,113, $522,107)"
Tyrique George,,LW,Chelsea,19,"£ 7,500 (€ 8,656, $10,041)","£ 390,000 (€ 450,113, $522,107)"
Rodrigo Muniz,br BRA,CF,Fulham,24,"£ 7,500 (€ 8,656, $10,041)","£ 390,000 (€ 450,113, $522,107)"
Adil Aouchiche,fr FRA,AM,Sunderland,22,"£ 7,000 (€ 8,079, $9,371)","£ 364,000 (€ 420,105, $487,300)"
Simon Moore,eng ENG,GK,Sunderland,35,"£ 7,000 (€ 8,079, $9,371)","£ 364,000 (€ 420,105, $487,300)"
Lewis Hall,,LB,Newcastle Utd,20,"£ 7,000 (€ 8,079, $9,371)","£ 364,000 (€ 420,105, $487,300)"
Josh Wilson-Esbrand,,LB,Manchester City,22,"£ 7,000 (€ 8,079, $9,371)","£ 364,000 (€ 420,105, $487,300)"
Matthew Cox,,GK,Brentford,22,"£ 7,000 (€ 8,079, $9,371)","£ 364,000 (€ 420,105, $487,300)"
Alfie Devine,,AM,Tottenham,20,"£ 6,500 (€ 7,502, $8,702)","£ 338,000 (€ 390,098, $452,493)"
Eliezer Mayenda,,CF,Sunderland,20,"£ 6,500 (€ 7,502, $8,702)","£ 338,000 (€ 390,098, $452,493)"
Pierre Ekwah,,DM,Sunderland,23,"£ 6,500 (€ 7,502, $8,702)","£ 338,000 (€ 390,098, $452,493)"
Ethan Nwaneri,,RW,Arsenal,18,"£ 6,000 (€ 6,925, $8,032)","£ 312,000 (€ 360,090, $417,686)"
Ajibola Alese,eng ENG,CB,Sunderland,24,"£ 6,000 (€ 6,925, $8,032)","£ 312,000 (€ 360,090, $417,686)"
Blondy Nna Noukeu,,GK,Sunderland,23,"£ 6,000 (€ 6,925, $8,032)","£ 312,000 (€ 360,090, $417,686)"
Shurandy Sambo,,RB,Burnley,23,"£ 6,000 (€ 6,925, $8,032)","£ 312,000 (€ 360,090, $417,686)"
Harry Amass,,LB,Manchester Utd,18,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Tyler Fredricson,,CB,Manchester Utd,20,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Mikey Moore,,LW,Tottenham,17,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Caleb Kporha,,RB,Crystal Palace,18,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
James Hill,eng ENG,CB,Bournemouth,23,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Alex Cairns,eng ENG,GK,Leeds United,32,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Darko Gyabi,,CM,Leeds United,21,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Andy Irving,sct SCO,CM,West Ham,25,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Filip Marschall,,GK,Aston Villa,22,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Abdoullah Ba,fr FRA,RM,Sunderland,21,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Leo Fuhr Hjelde,no NOR,LB,Sunderland,21,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Niall Huggins,wls WAL,RB,Sunderland,24,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Romaine Mundle,,LW,Sunderland,22,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Lewis Miley,,CM,Newcastle Utd,19,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Ji-soo Kim,,CB,Brentford,20,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Myles Peart-Harris,eng ENG,LW,Brentford,22,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Ryan Trevitt,,CM,Brentford,22,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Josh Acheampong,,RB,Chelsea,19,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Carl Rushworth,eng ENG,GK,Brighton,23,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
James Beadle,,GK,Brighton,20,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Odeluga Offiah,,RB,Brighton,22,"£ 5,000 (€ 5,771, $6,694)","£ 260,000 (€ 300,075, $348,072)"
Jay Matete,eng ENG,CM,Sunderland,24,"£ 4,500 (€ 5,194, $6,024)","£ 234,000 (€ 270,068, $313,264)"
Ayden Heaven,,CB,Manchester Utd,18,"£ 4,000 (€ 4,617, $5,355)","£ 208,000 (€ 240,060, $278,457)"
Toby Collyer,,DM,Manchester Utd,21,"£ 4,000 (€ 4,617, $5,355)","£ 208,000 (€ 240,060, $278,457)"
Matai Akinmboni,us USA,CB,Bournemouth,18,"£ 4,000 (€ 4,617, $5,355)","£ 208,000 (€ 240,060, $278,457)"
Enock Agyei,,RW,Burnley,20,"£ 4,000 (€ 4,617, $5,355)","£ 208,000 (€ 240,060, $278,457)"
Daniel Gore,,CM,Manchester Utd,20,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Justin Devenny,,CM,Crystal Palace,21,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Kaden Rodney,,DM,Crystal Palace,20,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Will Dennis,eng ENG,GK,Bournemouth,24,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Mohamadou Kanté,,CM,West Ham,19,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Jenson Seelt,,CB,Sunderland,22,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Joe Anderson,,CB,Sunderland,24,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Milan Aleksic,,CM,Sunderland,19,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Nectarios Triantis,,DM,Sunderland,22,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Trai Hume,nir NIR,RB,Sunderland,23,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Jordan Beyer,de GER,CB,Burnley,25,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Alex Murphy,,LB,Newcastle Utd,21,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Joe White,eng ENG,AM,Newcastle Utd,22,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Paris Maghoma,,CM,Brentford,24,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Martial Godo,,LW,Fulham,22,"£ 3,000 (€ 3,462, $4,016)","£ 156,000 (€ 180,045, $208,843)"
Kaelan Casey,,CB,West Ham,20,"£ 2,500 (€ 2,885, $3,347)","£ 130,000 (€ 150,038, $174,036)"
Nathan Fraser,,CF,Wolves,20,"£ 2,500 (€ 2,885, $3,347)","£ 130,000 (€ 150,038, $174,036)"
Oluwaseun Adewumi,,AM,Burnley,20,"£ 2,500 (€ 2,885, $3,347)","£ 130,000 (€ 150,038, $174,036)"
Owen Dodgson,,LB,Burnley,22,"£ 2,500 (€ 2,885, $3,347)","£ 130,000 (€ 150,038, $174,036)"
David Ozoh,,DM,Crystal Palace,20,"£ 2,000 (€ 2,308, $2,677)","£ 104,000 (€ 120,030, $139,229)"
Max Kinsey,,CB,Bournemouth,20,"£ 2,000 (€ 2,308, $2,677)","£ 104,000 (€ 120,030, $139,229)"
Tawanda Chirewa,,AM,Wolves,21,"£ 2,000 (€ 2,308, $2,677)","£ 104,000 (€ 120,030, $139,229)"
Ahmed Abdullahi,,CF,Sunderland,21,"£ 2,000 (€ 2,308, $2,677)","£ 104,000 (€ 120,030, $139,229)"
Chris Rigg,,AM,Sunderland,18,"£ 1,500 (€ 1,731, $2,008)","£ 78,000 (€ 90,023, $104,421)"
Harry Tyrer,,GK,Everton,23,"£ 1,500 (€ 1,731, $2,008)","£ 78,000 (€ 90,023, $104,421)"
Dan Neil,eng ENG,CM,Sunderland,23,"£ 1,346 (€ 1,554, $1,802)","£ 70,000 (€ 80,789, $93,712)"
Harrison Armstrong,,CM,Everton,18,"£ 1,200 (€ 1,385, $1,606)","£ 62,400 (€ 72,018, $83,537)"
Charlie Crew,,DM,Leeds United,19,"£ 1,000 (€ 1,154, $1,339)","£ 52,000 (€ 60,015, $69,614)"
