Player,Squad
Erling Haaland,Manchester City
Mohamed Salah,Liverpool
Casemiro,Manchester Utd
Virgil van Dijk,Liverpool
Raheem Sterling,Chelsea
Bruno Fernandes,Manchester Utd
Marcus Rashford,Manchester Utd
Bernardo Silva,Manchester City
Jack Grealish,Manchester City
Omar Marmoush,Manchester City
Kai Havertz,Arsenal
Gabriel Jesus,Arsenal
Jadon Sancho,Manchester Utd
Mason Mount,Manchester Utd
John Stones,Manchester City
Reece James,Chelsea
Declan Rice,Arsenal
Martin Ødegaard,Arsenal
İlkay Gündoğan,Manchester City
Tijjani Reijnders,Manchester City
Phil Foden,Manchester City
Rodri,Manchester City
Joško Gvardiol,Manchester City
Wesley Fofana,Chelsea
Bukayo Saka,Arsenal
Matthijs de Ligt,Manchester Utd
Florian Wirtz,Liverpool
Christopher Nkunku,Chelsea
William Saliba,Arsenal
Harry Maguire,Manchester Utd
Son Heung-min,Tottenham
Gabriel Martinelli,Arsenal
Matheus Cunha,Manchester Utd
Manuel Akanji,Manchester City
Rúben Dias,Manchester City
Enzo Fernández,Chelsea
Kyle Walker,Manchester City
Marc Cucurella,Chelsea
James Maddison,Tottenham
Cristian Romero,Tottenham
Andrew Robertson,Liverpool
Bruno Guimarães,Newcastle Utd
Nathan Aké,Manchester City
Pedro Neto,Chelsea
Ben White,Arsenal
Gabriel Magalhães,Arsenal
Oleksandr Zinchenko,Arsenal
Bryan Mbeumo,Manchester Utd
Luke Shaw,Manchester Utd
Jarrod Bowen,West Ham
Lucas Paquetá,West Ham
Alexis Mac Allister,Liverpool
Alisson,Liverpool
Federico Chiesa,Liverpool
Ryan Gravenberch,Liverpool
Boubacar Kamara,Aston Villa
Emiliano Martínez,Aston Villa
Youri Tielemans,Aston Villa
Anthony Gordon,Newcastle Utd
Joelinton,Newcastle Utd
Kalvin Phillips,Manchester City
Mateo Kovačić,Manchester City
Moisés Caicedo,Chelsea
Darwin Núñez,Liverpool
Amadou Onana,Aston Villa
Donyell Malen,Aston Villa
Noussair Mazraoui,Manchester Utd
Mikel Merino,Arsenal
Ollie Watkins,Aston Villa
Matheus Nunes,Manchester City
Cole Palmer,Chelsea
João Félix,Chelsea
Bernd Leno,Fulham
Philippe Coutinho,Aston Villa
Jordan Pickford,Everton
Riccardo Calafiori,Arsenal
Amad Diallo,Manchester Utd
André Onana,Manchester Utd
Lisandro Martínez,Manchester Utd
Manuel Ugarte,Manchester Utd
Alphonse Areola,West Ham
Cody Gakpo,Liverpool
Dominik Szoboszlai,Liverpool
John McGinn,Aston Villa
Leon Bailey,Aston Villa
Lucas Digne,Aston Villa
Alexander Isak,Newcastle Utd
Kieran Trippier,Newcastle Utd
Sandro Tonali,Newcastle Utd
Tosin Adarabioyo,Chelsea
Idrissa Gana Gueye,Everton
Jarrad Branthwaite,Everton
Leny Yoro,Manchester Utd
James Ward-Prowse,West Ham
Dejan Kulusevski,Tottenham
Antony,Manchester Utd
Joshua Zirkzee,Manchester Utd
Daichi Kamada,Crystal Palace
Nikola Milenković,Nott'ham Forest
David Raya,Arsenal
Reiss Nelson,Arsenal
Takehiro Tomiyasu,Arsenal
Dean Henderson,Crystal Palace
Eberechi Eze,Crystal Palace
Edson Álvarez,West Ham
Max Kilman,West Ham
Jeremie Frimpong,Liverpool
Ian Maatsen,Aston Villa
Pau Torres,Aston Villa
Tyrone Mings,Aston Villa
Matt Targett,Newcastle Utd
Ederson,Manchester City
Ben Chilwell,Chelsea
Levi Colwill,Chelsea
Liam Delap,Chelsea
Mykhailo Mudryk,Chelsea
Nicolas Jackson,Chelsea
James Tarkowski,Everton
Raúl Jiménez,Fulham
Emerson Palmieri,West Ham
Jurriën Timber,Arsenal
Leandro Trossard,Arsenal
Dominic Solanke,Tottenham
Richarlison,Tottenham
Eddie Nketiah,Crystal Palace
Odsonne Édouard,Crystal Palace
Jack Harrison,Leeds United
Aaron Wan-Bissaka,West Ham
Niclas Füllkrug,West Ham
Tomáš Souček,West Ham
Leander Dendoncker,Aston Villa
Gonçalo Guedes,Wolves
Sven Botman,Newcastle Utd
Stefan Ortega,Manchester City
Benoît Badiashile,Chelsea
Chris Wood,Nott'ham Forest
Joachim Andersen,Fulham
Ferdi Kadioglu,Brighton
Diogo Dalot,Manchester Utd
Rasmus Højlund,Manchester Utd
Pedro Porro,Tottenham
Radu Drăgușin,Tottenham
Evanilson,Bournemouth
Michail Antonio,West Ham
Giorgi Mamardashvili,Liverpool
Joe Gomez,Liverpool
Ben Davies,Tottenham
Justin Kluivert,Bournemouth
Matty Cash,Aston Villa
Fábio Silva,Wolves
Harvey Barnes,Newcastle Utd
Joe Willock,Newcastle Utd
Kiernan Dewsbury-Hall,Chelsea
Kaoru Mitoma,Brighton
Lewis Dunk,Brighton
Callum Hudson-Odoi,Nott'ham Forest
Morgan Gibbs-White,Nott'ham Forest
Alex Iwobi,Fulham
Martín Zubimendi,Arsenal
Tyrell Malacia,Manchester Utd
Archie Gray,Tottenham
Destiny Udogie,Tottenham
Guglielmo Vicario,Tottenham
Rodrigo Bentancur,Tottenham
Antoine Semenyo,Bournemouth
Guido Rodríguez,West Ham
Conor Bradley,Liverpool
Kostas Tsimikas,Liverpool
Emi Buendía,Aston Villa
Ezri Konsa,Aston Villa
Morgan Rogers,Aston Villa
Georginio Rutter,Brighton
Ibrahim Sangaré,Nott'ham Forest
Brennan Johnson,Tottenham
Pape Matar Sarr,Tottenham
Cheick Doucouré,Crystal Palace
Ismaila Sarr,Crystal Palace
Jefferson Lerma,Crystal Palace
Ryan Christie,Bournemouth
Daniel James,Leeds United
Patrick Bamford,Leeds United
Ibrahima Konaté,Liverpool
Jacob Ramsey,Aston Villa
Hwang Hee-chan,Wolves
João Gomes,Wolves
Dan Burn,Newcastle Utd
Aaron Hickey,Brentford
Michael Keane,Everton
Issa Diop,Fulham
Lucas Bergvall,Tottenham
Luis Sinisterra,Bournemouth
Maxwel Cornet,West Ham
Neco Williams,Nott'ham Forest
Adama Traoré,Fulham
Kenny Tete,Fulham
Timothy Castagne,Fulham
Saša Lukić,Fulham
Manor Solomon,Tottenham
Daniel Muñoz,Crystal Palace
Will Hughes,Crystal Palace
Lewis Cook,Bournemouth
Tyler Adams,Bournemouth
Ross Barkley,Aston Villa
Fabian Schär,Newcastle Utd
Nick Pope,Newcastle Utd
Nicolás González,Manchester City
Robert Sánchez,Chelsea
Danny Welbeck,Brighton
James Milner,Brighton
Mats Wieffer,Brighton
Emile Smith Rowe,Fulham
Jakub Kiwior,Arsenal
Vitaliy Mykolenko,Everton
Yves Bissouma,Tottenham
Chris Richards,Crystal Palace
Luis Díaz,Liverpool
Boubacar Traoré,Wolves
Emil Krafth,Newcastle Utd
Adam Webster,Brighton
Séamus Coleman,Everton
Sander Berge,Fulham
Albert Sambi Lokonga,Arsenal
Alejandro Garnacho,Manchester Utd
Micky van de Ven,Tottenham
Jean-Philippe Mateta,Crystal Palace
Marc Guéhi,Crystal Palace
Maxence Lacroix,Crystal Palace
Nathaniel Clyne,Crystal Palace
David Brooks,Bournemouth
Ilya Zabarnyi,Bournemouth
Marcos Senesi,Bournemouth
Neto,Bournemouth
Pascal Struijk,Leeds United
Konstantinos Mavropanos,West Ham
Nayef Aguerd,West Ham
Wataru Endo,Liverpool
Marshall Munetsi,Wolves
Matt Doherty,Wolves
Odysseas Vlachodimos,Newcastle Utd
Valentino Livramento,Newcastle Utd
Jeremy Doku,Manchester City
Oscar Bobb,Manchester City
Igor Thiago,Brentford
Keane Lewis-Potter,Brentford
Mathias Jensen,Brentford
Carney Chukwuemeka,Chelsea
Filip Jørgensen,Chelsea
Marc Guiu,Chelsea
Trevoh Chalobah,Chelsea
Brajan Gruda,Brighton
Jan Paul van Hecke,Brighton
João Pedro,Brighton
Joël Veltman,Brighton
Matt O'Riley,Brighton
Pervis Estupiñán,Brighton
Solly March,Brighton
Beto,Everton
Lewis O'Brien,Nott'ham Forest
Ryan Yates,Nott'ham Forest
Taiwo Awoniyi,Nott'ham Forest
Andreas Pereira,Fulham
Antonee Robinson,Fulham
Harrison Reed,Fulham
Fabio Vieira,Arsenal
Tom Heaton,Manchester Utd
Rob Holding,Crystal Palace
Hamed Junior Traorè,Bournemouth
Philip Billing,Bournemouth
Brenden Aaronson,Leeds United
Samuel Iling-Junior,Aston Villa
Emmanuel Agbadou,Wolves
Lesley Ugochukwu,Chelsea
Malo Gusto,Chelsea
Roméo Lavia,Chelsea
Ibrahim Osman,Brighton
Igor,Brighton
Tariq Lamptey,Brighton
Iliman Ndiaye,Everton
Ola Aina,Nott'ham Forest
Calvin Bassey,Fulham
Ryan Sessegnon,Fulham
Myles Lewis-Skelly,Arsenal
Patrick Dorgu,Manchester Utd
Bryan Gil,Tottenham
Djed Spence,Tottenham
Matheus França,Crystal Palace
Tyrick Mitchell,Crystal Palace
Adam Smith,Bournemouth
Alex Scott,Bournemouth
Ethan Ampadu,Leeds United
Joe Rodon,Leeds United
Harvey Elliott,Liverpool
Stefan Bajcetic,Liverpool
José Sá,Wolves
Ki-Jana Hoever,Wolves
Sam Johnstone,Wolves
Josh Cullen,Burnley
Jamaal Lascelles,Newcastle Utd
Martin Dúbravka,Newcastle Utd
Sávio,Manchester City
Vitor Reis,Manchester City
Christian Nørgaard,Brentford
Fabio Carvalho,Brentford
Frank Onyeka,Brentford
Kristoffer Ajer,Brentford
Armando Broja,Chelsea
Axel Disasi,Chelsea
Gaga Slonina,Chelsea
Yankuba Minteh,Brighton
Elliot Anderson,Nott'ham Forest
Emmanuel Dennis,Nott'ham Forest
Matt Turner,Nott'ham Forest
Murillo,Nott'ham Forest
Omar Richards,Nott'ham Forest
Willy Boly,Nott'ham Forest
Altay Bayındır,Manchester Utd
Adam Wharton,Crystal Palace
Chris Mepham,Bournemouth
Dango Ouattara,Bournemouth
Marcus Tavernier,Bournemouth
Romain Faivre,Bournemouth
Maximilian Wöber,Leeds United
Álex Moreno,Aston Villa
André,Wolves
Jean-Ricner Bellegarde,Wolves
Sasa Kalajdzic,Wolves
Bashir Humphreys,Burnley
Jaidon Anthony,Burnley
Joe Worrall,Burnley
Jacob Murphy,Newcastle Utd
Mads Roerslev,Brentford
Mikkel Damsgaard,Brentford
Rico Henry,Brentford
Bart Verbruggen,Brighton
Jake O'Brien,Everton
Matz Sels,Nott'ham Forest
Morato,Nott'ham Forest
Nicolás Domínguez,Nott'ham Forest
Harry Wilson,Fulham
Lyle Foster,Burnley
Chadi Riad,Crystal Palace
Naouirou Ahamada,Crystal Palace
Illan Meslier,Leeds United
Jayden Bogle,Leeds United
Karl Darlow,Leeds United
Sam Greenwood,Leeds United
Wilfried Gnonto,Leeds United
Crysencio Summerville,West Ham
Jarell Quansah,Liverpool
Santiago Bueno,Wolves
Connor Roberts,Burnley
Marcus Edwards,Burnley
Zeki Amdouni,Burnley
Ethan Pinnock,Brentford
Nathan Collins,Brentford
Vitaly Janelt,Brentford
Andrey Santos,Chelsea
David Datro Fofana,Chelsea
James Garner,Everton
Youssef Chermiti,Everton
Danilo,Nott'ham Forest
Ramón Sosa,Nott'ham Forest
Tom Cairney,Fulham
Nathan Patterson,Everton
Kobbie Mainoo,Manchester Utd
Alejo Veliz,Tottenham
Wilson Odobert,Tottenham
Julian Araujo,Bournemouth
Ao Tanaka,Leeds United
Jean-Clair Todibo,West Ham
Luis Guilherme,West Ham
Lewis Dobbin,Aston Villa
Rodrigo Gomes,Wolves
Toti Gomes,Wolves
Daniel Ballard,Sunderland
Aaron Ramsey,Burnley
Benson Manuel,Burnley
James Trafford,Burnley
Rico Lewis,Manchester City
Gustavo Nunes,Brentford
Yoane Wissa,Brentford
Renato Veiga,Chelsea
Diego Gómez,Brighton
Facundo Buonanotte,Brighton
Valentín Barco,Brighton
Dwight McNeil,Everton
Jota Silva,Nott'ham Forest
Jorge Cuenca,Fulham
Isaac Hayden,Newcastle Utd
Antonín Kinský,Tottenham
Ashley Phillips,Tottenham
Eli Junior Kroupi,Bournemouth
Joe Rothwell,Bournemouth
Sam Byram,Leeds United
Daniel Bentley,Wolves
Yerson Mosquera,Wolves
Ashley Barnes,Burnley
Hannibal,Burnley
Hjalmar Ekdal,Burnley
Luca Koleosho,Burnley
Mike Trésor,Burnley
William Osula,Newcastle Utd
Abdukodir Khusanov,Manchester City
Issa Kaboré,Manchester City
Sepp van den Berg,Brentford
Abdallah Sima,Brighton
Jason Steele,Brighton
Jeremy Sarmiento,Brighton
Kjell Scherpen,Brighton
Carlos Alcaraz,Everton
Tim Iroegbunam,Everton
Josh Bowler,Nott'ham Forest
Largie Ramazani,Leeds United
Chido Obi,Manchester Utd
Brandon Austin,Tottenham
Romain Esse,Crystal Palace
Enes Ünal,Bournemouth
Julio Soler,Bournemouth
Ilia Gruev,Leeds United
Joe Gelhardt,Leeds United
Joël Piroe,Leeds United
Mateo Joseph,Leeds United
Wes Foderingham,West Ham
Ben Doak,Liverpool
Calvin Ramsay,Liverpool
Curtis Jones,Liverpool
Andrés García,Aston Villa
Jørgen Strand Larsen,Wolves
Nasser Djiga,Wolves
Pedro Lima,Wolves
Alan Browne,Sunderland
Wilson Isidor,Sunderland
Han-Noah Massengo,Burnley
Hannes Delcroix,Burnley
Josh Laurent,Burnley
Lucas Pires,Burnley
Maxime Estève,Burnley
Michael Obafemi,Burnley
Zian Flemming,Burnley
Claudio Echeverri,Manchester City
James McAtee,Manchester City
Jayden Meghoma,Brentford
Yegor Yarmolyuk,Brentford
Yunus Emre Konak,Brentford
Aarón Anselmino,Chelsea
Andrew Moran,Brighton
Eiran Cashin,Brighton
Julio Enciso,Brighton
Malick Yalcouyé,Brighton
Stefanos Tzimas,Brighton
Tom McGill,Brighton
Carlos Miguel,Nott'ham Forest
Enso González,Wolves
Patrick Roberts,Sunderland
Carlos Baleba,Brighton
Simon Adingra,Brighton
Luke Harris,Fulham
Caleb Wiley,Chelsea
Karl Jakob Hein,Arsenal
Ethan Wheatley,Manchester Utd
Joe Whitworth,Crystal Palace
Malcolm Ebiowei,Crystal Palace
Isaac Schmidt,Leeds United
Rhys Williams,Liverpool
Joe Gauci,Aston Villa
Chiquinho,Wolves
Hugo Bueno,Wolves
Joe Hodge,Wolves
Tom King,Wolves
Tommy Doyle,Wolves
Anthony Patterson,Sunderland
Dennis Cirkin,Sunderland
Darko Churlinov,Burnley
Etienne Green,Burnley
Václav Hladký,Burnley
Harrison Ashby,Newcastle Utd
Mark Gillespie,Newcastle Utd
Ellery Balcombe,Brentford
Hákon Rafn Valdimarsson,Brentford
Kevin Schade,Brentford
Alfie Gilchrist,Chelsea
Mike Penders,Chelsea
Amario Cozier-Duberry,Brighton
Jack Hinshelwood,Brighton
Tyler Bindon,Nott'ham Forest
Wayne Hennessey,Nott'ham Forest
Josh King,Fulham
Steven Benda,Fulham
Ian Poveda,Sunderland
Andreas Hountondji,Burnley
Oliver Sonne,Burnley
Tyler Morton,Liverpool
Lamare Bogarde,Aston Villa
Bastien Meupiyou,Wolves
Yasin Ayari,Brighton
Eric da Silva Moreira,Nott'ham Forest
Dane Scarlett,Tottenham
Min-hyeok Yang,Tottenham
Jesurun Rak-Sakyi,Crystal Palace
Remi Matthews,Crystal Palace
Luke O'Nien,Sunderland
Timothee Pembele,Sunderland
Jaydon Banel,Burnley
Tyrique George,Chelsea
Rodrigo Muniz,Fulham
Adil Aouchiche,Sunderland
Simon Moore,Sunderland
Lewis Hall,Newcastle Utd
Josh Wilson-Esbrand,Manchester City
Matthew Cox,Brentford
Alfie Devine,Tottenham
Eliezer Mayenda,Sunderland
Pierre Ekwah,Sunderland
Ethan Nwaneri,Arsenal
Ajibola Alese,Sunderland
Blondy Nna Noukeu,Sunderland
Shurandy Sambo,Burnley
Harry Amass,Manchester Utd
Tyler Fredricson,Manchester Utd
Mikey Moore,Tottenham
Caleb Kporha,Crystal Palace
James Hill,Bournemouth
Alex Cairns,Leeds United
Darko Gyabi,Leeds United
Andy Irving,West Ham
Filip Marschall,Aston Villa
Abdoullah Ba,Sunderland
Leo Fuhr Hjelde,Sunderland
Niall Huggins,Sunderland
Romaine Mundle,Sunderland
Lewis Miley,Newcastle Utd
Ji-soo Kim,Brentford
Myles Peart-Harris,Brentford
Ryan Trevitt,Brentford
Josh Acheampong,Chelsea
Carl Rushworth,Brighton
James Beadle,Brighton
Odeluga Offiah,Brighton
Jay Matete,Sunderland
Ayden Heaven,Manchester Utd
Toby Collyer,Manchester Utd
Matai Akinmboni,Bournemouth
Enock Agyei,Burnley
Daniel Gore,Manchester Utd
Justin Devenny,Crystal Palace
Kaden Rodney,Crystal Palace
Will Dennis,Bournemouth
Mohamadou Kanté,West Ham
Jenson Seelt,Sunderland
Joe Anderson,Sunderland
Milan Aleksic,Sunderland
Nectarios Triantis,Sunderland
Trai Hume,Sunderland
Jordan Beyer,Burnley
Alex Murphy,Newcastle Utd
Joe White,Newcastle Utd
Paris Maghoma,Brentford
Martial Godo,Fulham
Kaelan Casey,West Ham
Nathan Fraser,Wolves
Oluwaseun Adewumi,Burnley
Owen Dodgson,Burnley
David Ozoh,Crystal Palace
Max Kinsey,Bournemouth
Tawanda Chirewa,Wolves
Ahmed Abdullahi,Sunderland
Chris Rigg,Sunderland
Harry Tyrer,Everton
Dan Neil,Sunderland
Harrison Armstrong,Everton
Charlie Crew,Leeds United
